Make,Fuel-Type,Aspiration,Number-Doors,Body-Style,Drive-Wheels,Engine-Location,Wheel-Base,Length,Width,Height,Curb-Weight,Engine-Type,Number-Cylinders,Engine-Size,Fuel-System,Bore,Stroke,Compression-Ratio,Horsepower,Peak-RPM,City-MPG,Highway-MPG,Price
Dodge,Gas,Standard,Four,Hatchback,Front,Front,93.7,157.3,63.8,50.6,1967,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6229
Dodge,Gas,Standard,Four,Sedan,Front,Front,93.7,157.3,63.8,50.6,1989,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6692
Dodge,Gas,Standard,Four,Sedan,Front,Front,93.7,157.3,63.8,50.6,1989,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,7609
Dodge,Gas,Standard,Four,Wagon,Front,Front,103.3,174.6,64.6,59.8,2535,OHC,Four,122,2BBL,3.34,3.46,8.5,88,5000,24,30,8921
Dodge,Gas,Turbo,Two,Hatchback,Front,Front,95.9,173.2,66.3,50.2,2811,OHC,Four,156,MFI,3.6,3.9,7,145,5000,19,24,12964
Honda,Gas,Standard,Two,Hatchback,Front,Front,86.6,144.6,63.9,50.8,1713,OHC,Four,92,1BBL,2.91,3.41,9.6,58,4800,49,54,6479
Honda,Gas,Standard,Two,Hatchback,Front,Front,86.6,144.6,63.9,50.8,1819,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,31,38,6855
Honda,Gas,Standard,Two,Hatchback,Front,Front,93.7,150,64,52.6,1837,OHC,Four,79,1BBL,2.91,3.07,10.1,60,5500,38,42,5399
Honda,Gas,Standard,Two,Hatchback,Front,Front,93.7,150,64,52.6,1940,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,30,34,6529
Honda,Gas,Standard,Two,Hatchback,Front,Front,93.7,150,64,52.6,1956,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,30,34,7129
Honda,Gas,Standard,Four,Sedan,Front,Front,96.5,163.4,64,54.5,2010,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,30,34,7295
Honda,Gas,Standard,Four,Wagon,Front,Front,96.5,157.1,63.9,58.3,2024,OHC,Four,92,1BBL,2.92,3.41,9.2,76,6000,30,34,7295
Honda,Gas,Standard,Two,Hatchback,Front,Front,96.5,167.5,65.2,53.3,2236,OHC,Four,110,1BBL,3.15,3.58,9,86,5800,27,33,7895
Honda,Gas,Standard,Two,Hatchback,Front,Front,96.5,167.5,65.2,53.3,2289,OHC,Four,110,1BBL,3.15,3.58,9,86,5800,27,33,9095
Honda,Gas,Standard,Four,Sedan,Front,Front,96.5,175.4,65.2,54.1,2304,OHC,Four,110,1BBL,3.15,3.58,9,86,5800,27,33,8845
Honda,Gas,Standard,Four,Sedan,Front,Front,96.5,175.4,62.5,54.1,2372,OHC,Four,110,1BBL,3.15,3.58,9,86,5800,27,33,10295
Honda,Gas,Standard,Four,Sedan,Front,Front,96.5,175.4,65.2,54.1,2465,OHC,Four,110,MPFI,3.15,3.58,9,101,5800,24,28,12945
Honda,Gas,Standard,Two,Sedan,Front,Front,96.5,169.1,66,51,2293,OHC,Four,110,2BBL,3.15,3.58,9.1,100,5500,25,31,10345
Isuzu,Gas,Standard,Four,Sedan,Rear,Front,94.3,170.7,61.8,53.5,2337,OHC,Four,111,2BBL,3.31,3.23,8.5,78,4800,24,29,6785
Isuzu,Gas,Standard,Two,Hatchback,Rear,Front,96,172.6,65.2,51.4,2734,OHC,Four,119,SPFI,3.43,3.23,9.2,90,5000,24,29,11048
Jaguar,Gas,Standard,Four,Sedan,Rear,Front,113,199.6,69.6,52.8,4066,DOHC,Six,258,MPFI,3.63,4.17,8.1,176,4750,15,19,32250
Jaguar,Gas,Standard,Four,Sedan,Rear,Front,113,199.6,69.6,52.8,4066,DOHC,Six,258,MPFI,3.63,4.17,8.1,176,4750,15,19,35550
Jaguar,Gas,Standard,Two,Sedan,Rear,Front,102,191.7,70.6,47.8,3950,OHCV,Twelve,326,MPFI,3.54,2.76,11.5,262,5000,13,17,36000
Mazda,Gas,Standard,Two,Hatchback,Front,Front,93.1,159.1,64.2,54.1,1890,OHC,Four,91,2BBL,3.03,3.15,9,68,5000,30,31,5195
Mazda,Gas,Standard,Two,Hatchback,Front,Front,93.1,159.1,64.2,54.1,1900,OHC,Four,91,2BBL,3.03,3.15,9,68,5000,31,38,6095
Mazda,Gas,Standard,Two,Hatchback,Front,Front,93.1,159.1,64.2,54.1,1905,OHC,Four,91,2BBL,3.03,3.15,9,68,5000,31,38,6795
Mazda,Gas,Standard,Four,Sedan,Front,Front,93.1,166.8,64.2,54.1,1945,OHC,Four,91,2BBL,3.03,3.15,9,68,5000,31,38,6695
Mazda,Gas,Standard,Four,Sedan,Front,Front,93.1,166.8,64.2,54.1,1950,OHC,Four,91,2BBL,3.08,3.15,9,68,5000,31,38,7395
Mazda,Gas,Standard,Two,Hatchback,Front,Front,98.8,177.8,66.5,53.7,2385,OHC,Four,122,2BBL,3.39,3.39,8.6,84,4800,26,32,8845
Mazda,Gas,Standard,Four,Sedan,Front,Front,98.8,177.8,66.5,55.5,2410,OHC,Four,122,2BBL,3.39,3.39,8.6,84,4800,26,32,8495
Mazda,Gas,Standard,Two,Hatchback,Front,Front,98.8,177.8,66.5,53.7,2385,OHC,Four,122,2BBL,3.39,3.39,8.6,84,4800,26,32,10595
Mazda,Gas,Standard,Four,Sedan,Front,Front,98.8,177.8,66.5,55.5,2410,OHC,Four,122,2BBL,3.39,3.39,8.6,84,4800,26,32,10245
Mazda,Gas,Standard,Four,Hatchback,Front,Front,98.8,177.8,66.5,55.5,2425,OHC,Four,122,2BBL,3.39,3.39,8.6,84,4800,26,32,11245
Mazda,Gas,Standard,Four,Sedan,Rear,Front,104.9,175,66.1,54.4,2670,OHC,Four,140,MPFI,3.76,3.16,8,120,5000,19,27,18280
Mazda,Diesel,Standard,Four,Sedan,Rear,Front,104.9,175,66.1,54.4,2700,OHC,Four,134,IDI,3.43,3.64,22,72,4200,31,39,18344
Mercedes-Benz,Diesel,Turbo,Four,Sedan,Rear,Front,110,190.9,70.3,56.5,3515,OHC,Five,183,IDI,3.58,3.64,21.5,123,4350,22,25,25552
Mercedes-Benz,Diesel,Turbo,Four,Wagon,Rear,Front,110,190.9,70.3,58.7,3750,OHC,Five,183,IDI,3.58,3.64,21.5,123,4350,22,25,28248
Mercedes-Benz,Diesel,Turbo,Two,Hardtop,Rear,Front,106.7,187.5,70.3,54.9,3495,OHC,Five,183,IDI,3.58,3.64,21.5,123,4350,22,25,28176
Mercedes-Benz,Diesel,Turbo,Four,Sedan,Rear,Front,115.6,202.6,71.7,56.3,3770,OHC,Five,183,IDI,3.58,3.64,21.5,123,4350,22,25,31600
Mercedes-Benz,Gas,Standard,Four,Sedan,Rear,Front,115.6,202.6,71.7,56.5,3740,OHCV,Eight,234,MPFI,3.46,3.1,8.3,155,4750,16,18,34184
Mercedes-Benz,Gas,Standard,Two,Convertible,Rear,Front,96.6,180.3,70.5,50.8,3685,OHCV,Eight,234,MPFI,3.46,3.1,8.3,155,4750,16,18,35056
Mercedes-Benz,Gas,Standard,Four,Sedan,Rear,Front,120.9,208.1,71.7,56.7,3900,OHCV,Eight,308,MPFI,3.8,3.35,8,184,4500,14,16,40960
Mercedes-Benz,Gas,Standard,Two,Hardtop,Rear,Front,112,199.2,72,55.4,3715,OHCV,Eight,304,MPFI,3.8,3.35,8,184,4500,14,16,45400
Mercury,Gas,Turbo,Two,Hatchback,Rear,Front,102.7,178.4,68,54.8,2910,OHC,Four,140,MPFI,3.78,3.12,8,175,5000,19,24,16503
Mitsubishi,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,64.4,50.8,1918,OHC,Four,92,2BBL,2.97,3.23,9.4,68,5500,37,41,5389
Mitsubishi,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,64.4,50.8,1944,OHC,Four,92,2BBL,2.97,3.23,9.4,68,5500,31,38,6189
Mitsubishi,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,64.4,50.8,2004,OHC,Four,92,2BBL,2.97,3.23,9.4,68,5500,31,38,6669
Mitsubishi,Gas,Turbo,Two,Hatchback,Front,Front,93,157.3,63.8,50.8,2145,OHC,Four,98,SPDI,3.03,3.39,7.6,102,5500,24,30,7689
Mitsubishi,Gas,Turbo,Two,Hatchback,Front,Front,96.3,173,65.4,49.4,2370,OHC,Four,110,SPDI,3.17,3.46,7.5,116,5500,23,30,9959
Mitsubishi,Gas,Standard,Two,Hatchback,Front,Front,96.3,173,65.4,49.4,2328,OHC,Four,122,2BBL,3.35,3.46,8.5,88,5000,25,32,8499
Mitsubishi,Gas,Turbo,Two,Hatchback,Front,Front,95.9,173.2,66.3,50.2,2833,OHC,Four,156,SPDI,3.58,3.86,7,145,5000,19,24,12629
Mitsubishi,Gas,Turbo,Two,Hatchback,Front,Front,95.9,173.2,66.3,50.2,2921,OHC,Four,156,SPDI,3.59,3.86,7,145,5000,19,24,14869
Mitsubishi,Gas,Turbo,Two,Hatchback,Front,Front,95.9,173.2,66.3,50.2,2926,OHC,Four,156,SPDI,3.59,3.86,7,145,5000,19,24,14489
Mitsubishi,Gas,Standard,Four,Sedan,Front,Front,96.3,172.4,65.4,51.6,2365,OHC,Four,122,2BBL,3.35,3.46,8.5,88,5000,25,32,6989
Mitsubishi,Gas,Standard,Four,Sedan,Front,Front,96.3,172.4,65.4,51.6,2405,OHC,Four,122,2BBL,3.35,3.46,8.5,88,5000,25,32,8189
Mitsubishi,Gas,Turbo,Four,Sedan,Front,Front,96.3,172.4,65.4,51.6,2403,OHC,Four,110,SPDI,3.17,3.46,7.5,116,5500,23,30,9279
Mitsubishi,Gas,Standard,Four,Sedan,Front,Front,96.3,172.4,65.4,51.6,2403,OHC,Four,110,SPDI,3.17,3.46,7.5,116,5500,23,30,9279
Nissan,Gas,Standard,Two,Sedan,Front,Front,94.5,165.3,63.8,54.5,1889,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,5499
Nissan,Diesel,Standard,Two,Sedan,Front,Front,94.5,165.3,63.8,54.5,2017,OHC,Four,103,IDI,2.99,3.47,21.9,55,4800,45,50,7099
Nissan,Gas,Standard,Two,Sedan,Front,Front,94.5,165.3,63.8,54.5,1918,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,6649
Nissan,Gas,Standard,Four,Sedan,Front,Front,94.5,165.3,63.8,54.5,1938,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,6849
Nissan,Gas,Standard,Four,Wagon,Front,Front,94.5,170.2,63.8,53.5,2024,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,7349
Nissan,Gas,Standard,Two,Sedan,Front,Front,94.5,165.3,63.8,54.5,1951,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,7299
Nissan,Gas,Standard,Two,Hatchback,Front,Front,94.5,165.6,63.8,53.3,2028,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,7799
Nissan,Gas,Standard,Four,Sedan,Front,Front,94.5,165.3,63.8,54.5,1971,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,7499
Nissan,Gas,Standard,Four,Wagon,Front,Front,94.5,170.2,63.8,53.5,2037,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,7999
Nissan,Gas,Standard,Two,Hardtop,Front,Front,95.1,162.4,63.8,53.3,2008,OHC,Four,97,2BBL,3.15,3.29,9.4,69,5200,31,37,8249
Nissan,Gas,Standard,Four,Hatchback,Front,Front,97.2,173.4,65.2,54.7,2324,OHC,Four,120,2BBL,3.33,3.47,8.5,97,5200,27,34,8949
Nissan,Gas,Standard,Four,Sedan,Front,Front,97.2,173.4,65.2,54.7,2302,OHC,Four,120,2BBL,3.33,3.47,8.5,97,5200,27,34,9549
Nissan,Gas,Standard,Four,Sedan,Front,Front,100.4,181.7,66.5,55.1,3095,OHCV,Six,181,MPFI,3.43,3.27,9,152,5200,17,22,13499
Nissan,Gas,Standard,Four,Wagon,Front,Front,100.4,184.6,66.5,56.1,3296,OHCV,Six,181,MPFI,3.43,3.27,9,152,5200,17,22,14399
Nissan,Gas,Standard,Four,Sedan,Front,Front,100.4,184.6,66.5,55.1,3060,OHCV,Six,181,MPFI,3.43,3.27,9,152,5200,19,25,13499
Nissan,Gas,Standard,Two,Hatchback,Rear,Front,91.3,170.7,67.9,49.7,3071,OHCV,Six,181,MPFI,3.43,3.27,9,160,5200,19,25,17199
Nissan,Gas,Turbo,Two,Hatchback,Rear,Front,91.3,170.7,67.9,49.7,3139,OHCV,Six,181,MPFI,3.43,3.27,7.8,200,5200,17,23,19699
Nissan,Gas,Standard,Two,Hatchback,Rear,Front,99.2,178.5,67.9,49.7,3139,OHCV,Six,181,MPFI,3.43,3.27,9,160,5200,19,25,18399
Peugot,Gas,Standard,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3020,L,Four,120,MPFI,3.46,3.19,8.4,97,5000,19,24,11900
Peugot,Diesel,Turbo,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3197,L,Four,152,IDI,3.7,3.52,21,95,4150,28,33,13200
Peugot,Gas,Standard,Four,Wagon,Rear,Front,114.2,198.9,68.4,58.7,3230,L,Four,120,MPFI,3.46,3.19,8.4,97,5000,19,24,12440
Peugot,Diesel,Turbo,Four,Wagon,Rear,Front,114.2,198.9,68.4,58.7,3430,L,Four,152,IDI,3.7,3.52,21,95,4150,25,25,13860
Peugot,Gas,Standard,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,MPFI,3.46,2.19,8.4,95,5000,19,24,15580
Peugot,Diesel,Turbo,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,IDI,3.7,3.52,21,95,4150,28,33,16900
Peugot,Gas,Standard,Four,Wagon,Rear,Front,114.2,198.9,68.4,56.7,3285,L,Four,120,MPFI,3.46,2.19,8.4,95,5000,19,24,16695
Peugot,Diesel,Turbo,Four,Wagon,Rear,Front,114.2,198.9,68.4,58.7,3485,L,Four,152,IDI,3.7,3.52,21,95,4150,25,25,17075
Peugot,Gas,Standard,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,MPFI,3.46,3.19,8.4,97,5000,19,24,16630
Peugot,Diesel,Turbo,Four,Sedan,Rear,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,IDI,3.7,3.52,21,95,4150,28,33,17950
Peugot,Gas,Turbo,Four,Sedan,Rear,Front,108,186.7,68.3,56,3130,L,Four,134,MPFI,3.61,3.21,7,142,5600,18,24,18150
Plymouth,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.3,63.8,50.8,1918,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,37,41,5572
Plymouth,Gas,Turbo,Two,Hatchback,Front,Front,93.7,157.3,63.8,50.8,2128,OHC,Four,98,SPDI,3.03,3.39,7.6,102,5500,24,30,7957
Plymouth,Gas,Standard,Four,Hatchback,Front,Front,93.7,157.3,63.8,50.6,1967,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6229
Plymouth,Gas,Standard,Four,Sedan,Front,Front,93.7,167.3,63.8,50.8,1989,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6692
Plymouth,Gas,Standard,Four,Sedan,Front,Front,93.7,167.3,63.8,50.8,2191,OHC,Four,98,2BBL,2.97,3.23,9.4,68,5500,31,38,7609
Plymouth,Gas,Standard,Four,Wagon,Front,Front,103.3,174.6,64.6,59.8,2535,OHC,Four,122,2BBL,3.35,3.46,8.5,88,5000,24,30,8921
Plymouth,Gas,Turbo,Two,Hatchback,Rear,Front,95.9,173.2,66.3,50.2,2818,OHC,Four,156,SPDI,3.59,3.86,7,145,5000,19,24,12764
Porsche,Gas,Standard,Two,Hatchback,Rear,Front,94.5,168.9,68.3,50.2,2778,OHC,Four,151,MPFI,3.94,3.11,9.5,143,5500,19,27,22018
Porsche,Gas,Standard,Two,Hardtop,Rear,Rear,89.5,168.9,65,51.6,2756,OHCf,Six,194,MPFI,3.74,2.9,9.5,207,5900,17,25,32528
Porsche,Gas,Standard,Two,Hardtop,Rear,Rear,89.5,168.9,65,51.6,2756,OHCf,Six,194,MPFI,3.74,2.9,9.5,207,5900,17,25,34028
Porsche,Gas,Standard,Two,Convertible,Rear,Rear,89.5,168.9,65,51.6,2800,OHCf,Six,194,MPFI,3.74,2.9,9.5,207,5900,17,25,37028
Saab,Gas,Standard,Two,Hatchback,Front,Front,99.1,186.6,66.5,56.1,2658,OHC,Four,121,MPFI,3.54,3.07,9.31,110,5250,21,28,11850
Saab,Gas,Standard,Four,Sedan,Front,Front,99.1,186.6,66.5,56.1,2695,OHC,Four,121,MPFI,3.54,3.07,9.3,110,5250,21,28,12170
Saab,Gas,Standard,Two,Hatchback,Front,Front,99.1,186.6,66.5,56.1,2707,OHC,Four,121,MPFI,2.54,2.07,9.3,110,5250,21,28,15040
Saab,Gas,Standard,Four,Sedan,Front,Front,99.1,186.6,66.5,56.1,2758,OHC,Four,121,MPFI,3.54,3.07,9.3,110,5250,21,28,15510
Saab,Gas,Turbo,Two,Hatchback,Front,Front,99.1,186.6,66.5,56.1,2808,DOHC,Four,121,MPFI,3.54,3.07,9,160,5500,19,26,18150
Saab,Gas,Turbo,Four,Sedan,Front,Front,99.1,186.6,66.5,56.1,2847,DOHC,Four,121,MPFI,3.54,3.07,9,160,5500,19,26,18620
Subaru,Gas,Standard,Two,Hatchback,Front,Front,93.7,156.9,63.4,53.7,2050,OHCf,Four,97,2BBL,3.62,2.36,9,69,4900,31,36,5118
Subaru,Gas,Standard,Two,Hatchback,Front,Front,93.7,157.9,63.6,53.7,2120,OHCf,Four,108,2BBL,3.62,2.64,8.7,73,4400,26,31,7053
Subaru,Gas,Standard,Two,Hatchback,Four-Wheel,Front,93.3,157.3,63.8,55.7,2240,OHCf,Four,108,2BBL,3.62,2.64,8.7,73,4400,26,31,7603
Subaru,Gas,Standard,Four,Sedan,Front,Front,97.2,172,65.4,52.5,2145,OHCf,Four,108,2BBL,3.62,2.64,9.5,82,4800,32,37,7126
Subaru,Gas,Standard,Four,Sedan,Front,Front,97.2,172,65.4,52.5,2190,OHCf,Four,108,2BBL,3.62,2.64,9.5,82,4400,28,33,7775
Subaru,Gas,Standard,Four,Sedan,Front,Front,97.2,172,65.4,52.5,2340,OHCf,Four,108,MPFI,3.62,2.64,9,94,5200,26,32,9960
Subaru,Gas,Standard,Four,Sedan,Four-Wheel,Front,97,172,65.4,54.3,2385,OHCf,Four,108,2BBL,3.62,2.64,9,82,4800,24,25,9233
Subaru,Gas,Turbo,Four,Sedan,Four-Wheel,Front,97,172,65.4,54.3,2510,OHCf,Four,108,MPFI,3.62,2.64,7.7,111,4800,24,29,11259
Subaru,Gas,Standard,Four,Wagon,Front,Front,97,173.5,65.4,53,2290,OHCf,Four,108,2BBL,3.62,2.64,9,82,4800,28,32,7463
Subaru,Gas,Standard,Four,Wagon,Front,Front,97,173.5,65.4,53,2455,OHCf,Four,108,MPFI,3.62,2.64,9,94,5200,25,31,10198
Subaru,Gas,Standard,Four,Wagon,Four-Wheel,Front,96.9,173.6,65.4,54.9,2420,OHCf,Four,108,2BBL,3.62,2.64,9,82,4800,23,29,8013
Subaru,Gas,Turbo,Four,Wagon,Four-Wheel,Front,96.9,173.6,65.4,54.9,2650,OHCf,Four,108,MPFI,3.62,2.64,7.7,111,4800,23,23,11694
Toyota,Gas,Standard,Two,Hatchback,Front,Front,95.7,158.7,63.6,54.5,1985,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,35,39,5348
Toyota,Gas,Standard,Two,Hatchback,Front,Front,95.7,158.7,63.6,54.5,2040,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,31,38,6338
Toyota,Gas,Standard,Four,Hatchback,Front,Front,95.7,158.7,63.6,54.5,2015,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,31,38,6488
Toyota,Gas,Standard,Four,Wagon,Front,Front,95.7,169.7,63.6,59.1,2280,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,31,37,6918
Toyota,Gas,Standard,Four,Wagon,Four-Wheel,Front,95.7,169.7,63.6,59.1,2290,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,27,32,7898
Toyota,Gas,Standard,Four,Wagon,Four-Wheel,Front,95.7,169.7,63.6,59.1,3110,OHC,Four,92,2BBL,3.05,3.03,9,62,4800,27,32,8778
Toyota,Gas,Standard,Four,Sedan,Front,Front,95.7,166.3,64.4,53,2081,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,30,37,6938
Toyota,Gas,Standard,Four,Hatchback,Front,Front,95.7,166.3,64.4,52.8,2109,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,30,37,7198
Toyota,Diesel,Standard,Four,Sedan,Front,Front,95.7,166.3,64.4,53,2275,OHC,Four,110,IDI,3.27,3.35,22.5,56,4500,34,36,7898
Toyota,Diesel,Standard,Four,Hatchback,Front,Front,95.7,166.3,64.4,52.8,2275,OHC,Four,110,IDI,3.27,3.35,22.5,56,4500,38,47,7788
Toyota,Gas,Standard,Four,Sedan,Front,Front,95.7,166.3,64.4,53,2094,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,38,47,7738
Toyota,Gas,Standard,Four,Hatchback,Front,Front,95.7,166.3,64.4,52.8,2122,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,28,34,8358
Toyota,Gas,Standard,Four,Sedan,Front,Front,95.7,166.3,64.4,52.8,2140,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,28,34,9258
Toyota,Gas,Standard,Two,Sedan,Rear,Front,94.5,168.7,64,52.6,2169,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,29,34,8058
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,94.5,168.7,64,52.6,2204,OHC,Four,98,2BBL,3.19,3.03,9,70,4800,29,34,8238
Toyota,Gas,Standard,Two,Sedan,Rear,Front,94.5,168.7,64,52.6,2265,DOHC,Four,98,MPFI,3.24,3.08,9.4,112,6600,26,29,9298
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,94.5,168.7,64,52.6,2300,DOHC,Four,98,MPFI,3.24,3.08,9.4,112,6600,26,29,9538
Toyota,Gas,Standard,Two,Hardtop,Rear,Front,98.4,176.2,65.6,52,2540,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,8449
Toyota,Gas,Standard,Two,Hardtop,Rear,Front,98.4,176.2,65.6,52,2536,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,9639
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,98.4,176.2,65.6,52,2551,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,9989
Toyota,Gas,Standard,Two,Hardtop,Rear,Front,98.4,176.2,65.6,52,2679,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,11199
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,98.4,176.2,65.6,52,2714,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,11549
Toyota,Gas,Standard,Two,Convertible,Rear,Front,98.4,176.2,65.6,53,2975,OHC,Four,146,MPFI,3.62,3.5,9.3,116,4800,24,30,17669
Toyota,Gas,Standard,Four,Sedan,Front,Front,102.4,175.6,66.5,54.9,2326,OHC,Four,122,MPFI,3.31,3.54,8.7,92,4200,29,34,8948
